,k_a,k_o1,k_o2,m_so,k_c,c_pa,C_z,COP
2014-03-31,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-01,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-02,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-03,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-04,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-05,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-06,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-07,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-08,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-09,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-10,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-11,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-12,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-13,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-14,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-15,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-16,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-17,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-18,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-19,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-20,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-21,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-22,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-23,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-24,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-25,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-26,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-27,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-28,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-29,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-09-30,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-01,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-02,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-03,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-04,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-05,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-06,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-07,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-08,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-09,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-10,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-11,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-12,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-13,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-14,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-15,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-16,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-17,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-18,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-19,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-20,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-21,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-22,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-23,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-24,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-25,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-26,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-27,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-28,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-29,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-30,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-10-31,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-01,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-02,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-03,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-04,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-05,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-06,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-07,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
